date_afran,close_afran,date_yaghoot,close_yaghoot,date_goldMofid,close_goldMofid,date_nahal,close_nahal,date_sahar,close_sahar,date_agas,close_agas,date_sarv,close_sarv,date_atlas,close_atlas
20210608,13489,20210608,12439,20210608,27534.57,20210608,8456.11,20210608,8557.86,20210608,65887.99,20210608,5623.91,20210608,19901.17
20210609,13498,20210609,12449,20210609,27558.96,20210609,8372.02,20210609,8480.05,20210609,64845.86,20210609,5531.98,20210609,19538.4
20210612,13516,20210612,12465,20210612,27000.12,20210612,8493.71,20210612,8582.8,20210612,65022.9,20210612,5510.14,20210612,19447.06
20210613,13530,20210613,12476,20210613,27415.69,20210613,8298.8,20210613,8588.78,20210613,64922.31,20210613,5496.48,20210613,19529.55
20210614,13536,20210614,12493,20210614,27248.04,20210614,8361.13,20210614,8649.63,20210614,65550,20210614,5560.2,20210614,19656.97
20210615,13542,20210615,12480,20210615,27289.7,20210615,8276.05,20210615,8560.85,20210615,64942.42,20210615,5509.23,20210615,19653.69
20210616,13551,20210616,12486,20210616,27723.56,20210616,8446.22,20210616,8590.78,20210616,64504.85,20210616,5475.55,20210616,19611.45
20210619,13578,20210619,12505,20210619,27033.65,20210619,8675.75,20210619,8729.43,20210619,65234.14,20210619,5559.29,20210619,19792.64
20210620,13585,20210620,12512,20210620,26647.54,20210620,8693.56,20210620,8632.67,20210620,64839.82,20210620,5531.98,20210620,20181.35
20210621,13586,20210621,12515,20210621,26705.46,20210621,8604.52,20210621,8589.78,20210621,64870,20210621,5532.89,20210621,20284.32
20210622,13601,20210622,12523,20210622,26901.56,20210622,8743.03,20210622,8699.51,20210622,65627.46,20210622,5629.37,20210622,20404.38
20210623,13606,20210623,12528,20210623,26577.43,20210623,8650.03,20210623,8718.46,20210623,67129.3,20210623,5758.61,20210623,20713.89
20210626,13620,20210626,12546,20210626,27080.39,20210626,8673.77,20210626,8870.09,20210626,70261.75,20210626,6002.54,20210626,21463.59
20210627,13630,20210627,12555,20210627,27169.8,20210627,8693.56,20210627,8861.11,20210627,70591.69,20210627,6042.58,20210627,21408.83
20210628,13642,20210628,12559,20210628,27550.83,20210628,9001.25,20210628,8872.08,20210628,70116.89,20210628,6011.64,20210628,21400.08
20210629,13646,20210629,12561,20210629,27951.16,20210629,9154.6,20210629,8966.85,20210629,70549.44,20210629,6074.44,20210629,21508.51
20210630,13654,20210630,12568,20210630,27835.33,20210630,9283.22,20210630,8968.84,20210630,71085.6,20210630,6132.69,20210630,21763.15
20210703,13675,20210703,12588,20210703,27668.69,20210703,9050.72,20210703,8980.81,20210703,70056.54,20210703,6076.26,20210703,21905.28
20210704,13685,20210704,12595,20210704,27808.91,20210704,9134.82,20210704,8990.79,20210704,69791.98,20210704,6076.26,20210704,21877.15
20210705,13695,20210705,12603,20210705,27520.35,20210705,9230.78,20210705,9021.71,20210705,70872.34,20210705,6165.45,20210705,22171.75
20210706,13704,20210706,12606,20210706,27636.18,20210706,9205.06,20210706,8972.83,20210706,72773.54,20210706,6338.39,20210706,22682.52
20210707,13715,20210707,12612,20210707,27577.25,20210707,9063.58,20210707,9070.59,20210707,72388.27,20210707,6291.06,20210707,22799.9
20210710,13730,20210710,12629,20210710,27562.01,20210710,9206.05,20210710,9135.43,20210710,71400.45,20210710,6194.58,20210710,22555.99
20210711,13738,20210711,12645,20210711,27582.33,20210711,9148.67,20210711,9121.46,20210711,72589.45,20210711,6316.54,20210711,22818.78
20210712,13751,20210712,12648,20210712,27517.3,20210712,9197.15,20210712,9129.44,20210712,73562.18,20210712,6400.28,20210712,23077.49
20210713,13758,20210713,12648,20210713,27164.72,20210713,9239.69,20210713,9128.45,20210713,73603.43,20210713,6400.28,20210713,22994.9
20210714,13766,20210714,12662,20210714,26907.65,20210714,9180.33,20210714,9126.45,20210714,73596.38,20210714,6383.89,20210714,23114.07
20210717,13786,20210717,12675,20210717,27008.25,20210717,9207.04,20210717,9119.47,20210717,74081.24,20210717,6435.77,20210717,23365.03
20210718,13793,20210718,12680,20210718,26833.48,20210718,9187.25,20210718,9106.5,20210718,73237.27,20210718,6319.27,20210718,23119.24
20210719,13803,20210719,12688,20210719,26910.7,20210719,9156.58,20210719,9125.45,20210719,73692.95,20210719,6324.73,20210719,23191.5
20210726,13857,20210726,12734,20210726,27765.22,20210726,9258.49,20210726,9111.49,20210726,74452.43,20210726,6393,20210726,23452.99
20210727,13865,20210727,12742,20210727,28253.95,20210727,9212.98,20210727,9117.47,20210727,73943.43,20210727,6324.73,20210727,23325.47
20210728,13874,20210728,12747,20210728,28765.04,20210728,9347.53,20210728,9110.49,20210728,74443.37,20210728,6336.57,20210728,23424.86
20210731,13911,20210731,12768,20210731,30135.72,20210731,9659.18,20210731,9256.13,20210731,77035.64,20210731,6474,20210731,23955.21
20210801,13917,20210801,12773,20210801,29997.53,20210801,9819.46,20210801,9200.27,20210801,78723.58,20210801,6513.14,20210801,24151.81
20210802,13922,20210802,12781,20210802,29559.61,20210802,9973.8,20210802,9225.21,20210802,78604.88,20210802,6540.44,20210802,24118.31
20210803,13929,20210803,12787,20210803,29899.99,20210803,9858.04,20210803,9249.15,20210803,79677.19,20210803,6624.18,20210803,24162.04
20210804,13936,20210804,12794,20210804,30217.01,20210804,9943.13,20210804,9223.21,20210804,81492.88,20210804,6892.68,20210804,24703.52
20210807,13957,20210807,12815,20210807,29338.1,20210807,9894.65,20210807,9915.5,20210807,81807.74,20210807,7012.82,20210807,24893.06
20210808,13965,20210808,12821,20210808,29610.41,20210808,10096.48,20210808,10274.62,20210808,82674.84,20210808,7079.26,20210808,24762.36
20210809,13972,20210809,12832,20210809,29415.32,20210809,9928.29,20210809,10061.14,20210809,83921.18,20210809,7269.48,20210809,24964.13
20210810,13979,20210810,12837,20210810,29643.94,20210810,10156.83,20210810,10048.17,20210810,84455.33,20210810,7372.33,20210810,25319.84
20210811,13987,20210811,12847,20210811,30477.12,20210811,10088.57,20210811,10035.21,20210811,86585.88,20210811,7588.04,20210811,25930.8
20210814,14009,20210814,12874,20210814,30817.5,20210814,9933.23,20210814,10118,20210814,85634.27,20210814,7548,20210814,25967.08
20210815,14018,20210815,12905,20210815,31119.28,20210815,10117.26,20210815,10145.93,20210815,86022.56,20210815,7659.95,20210815,26292.68
20210822,14065,20210822,12929,20210822,32246.1,20210822,10264.67,20210822,10273.62,20210822,87861.39,20210822,7844.71,20210822,27144.85
20210823,14076,20210823,12933,20210823,31739.08,20210823,10354.7,20210823,10451.18,20210823,88431.74,20210823,7879.29,20210823,27192.66
20210824,14083,20210824,12940,20210824,32212.57,20210824,10424.95,20210824,10469.13,20210824,91201.05,20210824,8054.05,20210824,28006.87
20210825,14091,20210825,12960,20210825,31780.74,20210825,10323.05,20210825,10447.19,20210825,91268.45,20210825,8137.78,20210825,27802.12
20210828,14119,20210828,12977,20210828,32080.48,20210828,10252.8,20210828,10479.11,20210828,91907.21,20210828,8171.46,20210828,27968.6
20210829,14121,20210829,12982,20210829,31132.49,20210829,10055.92,20210829,10336.46,20210829,90116.67,20210829,8040.39,20210829,27701.74
