date,ret_afran,ret_yaghoot,ret_goldMofid,ret_nahal,ret_sahar,ret_agas,ret_sarv,ret_atlas
2021-02-14,0.0005526388645764054,0.0005891512184888851,-0.02281654373152011,0.0,-0.041927293877647584,-0.023527010711864835,-0.02111365906821369,-0.010640777471081582
2021-02-15,0.0007100872127633156,0.0003365020642503913,-0.0194592008314011,-0.043868613829851,-0.0664349993407129,-0.010671865017634159,-0.005276164979302971,-0.011766483862293713
2021-02-16,0.0015761686610853663,0.000840760096608687,0.013328472294749115,-0.0476384328055862,-0.011068589829043468,-0.015162089214091918,-0.015548253246615799,-0.015021228113735975
2021-02-17,0.0009445101056354961,0.0008400538128423845,-0.0063376101286044635,0.0,0.009537967112883914,0.002532832752554096,0.002534901263222377,-0.010664753218296361
2021-02-20,0.0012579606973781108,0.0009232448513450184,-0.034298284421864424,0.0,-0.024174397582515297,-0.0087549609558891,-0.01802394713686222,-0.021447627869696353
2021-02-21,0.000785422597712479,0.0010900097503150068,-0.02140106534473567,0.0,-0.041637233917596425,-0.02515656317906227,-0.029689029678451204,-0.014106374981699595
2021-02-22,0.0004709576225197679,0.0002513720738864884,0.006130890646372948,0.0,-0.006891156422142299,-0.013346728952931616,-0.01970886882626582,-0.023147777340881717
2021-02-23,0.0008628466629377176,0.00016754628505298385,0.002909833595845916,0.0,0.021286966147322645,0.026346434567644416,0.035662648677829444,0.02583749399707396
2021-02-24,0.0007054121074737092,0.00041874293983176937,0.008959721325643153,0.0,0.013129956513906854,0.009863689151794634,0.0059753422137960605,0.013046749935189858
2021-02-27,0.0013310889488351023,0.0019239622815502995,-0.015179763512119438,-0.0069471465805321575,0.0077122484488928115,-0.034374533227995906,-0.03782256199572021,-0.015586674583546081
2021-02-28,-0.00015650676923724136,0.0015865729185075958,-0.00529086870958547,0.006947146580532198,-0.0009478483603506482,-0.012856062313288407,-0.016796838421427592,-0.010433844422477698
2021-03-01,0.0007822890174434948,0.000250281568069194,0.007392329515683071,0.03816399560624788,0.0033661706129444638,0.019436460205042458,0.030815322873542716,0.013746930705048548
2021-03-02,0.0008598116760596364,-0.0005840877966547899,-0.018203563875930022,-0.0036030092583481037,-0.0021029239013376287,0.010605676631523227,0.01890356246121804,0.01351448799723607
2021-03-03,0.0008590730349880909,0.0010010845918219623,0.0031832902326830023,0.009403247785088121,-0.0016846838183572758,-0.021693315343818846,-0.025336315536971875,-0.0028556054991447895
2021-03-06,0.0009363296564226481,0.0014997503227693063,-0.053144519478492865,0.011397531907145101,0.012983705808166221,-0.014067318654973493,-0.00901415729009149,-0.01709362870580334
2021-03-07,7.798791191324137e-05,-8.326048046108909e-05,-0.0029372841573426143,0.0180316040428651,0.01024526310138681,0.017888511531823307,0.017165753755293767,0.021320363490632422
2021-03-08,0.0005457451505662968,0.0,0.003013379656105715,-0.017615537129941985,-0.006196868393924092,0.02686063572102855,0.0328712299341602,0.022753050947427553
2021-03-09,0.0002337996347790098,0.0007490948787597196,-0.008836809144560514,-0.018566878996051816,-0.007591937880622275,0.009847219690504175,0.008576095516462844,0.028737632394190294
2021-03-10,0.0009346522995228239,0.0006653913578277295,0.010131044882458676,-0.004775654571669916,-0.0048130426667785655,-0.004563702264721136,-0.017988608682170098,-0.012682498910147898
2021-03-13,0.001633542426961626,0.0013294559498632033,0.026129680222778166,-0.008654509702530152,0.0006286465384429205,0.022779440826574012,0.026194700912409562,0.026633121824383068
2021-03-14,0.0012428151358904,0.0004980906627964611,0.0032554822737360174,0.010992624327838338,-0.0009441699786674805,0.013473379844017648,0.009317463346429808,0.0033985839089752134
2021-03-15,0.0005432462979434322,0.0010783460876556098,-0.01788840858954714,0.006242136748932871,0.0013633983839065676,0.007083710220662822,0.007479941287278268,-0.007571731728452018
2021-03-16,0.0002327295305489001,0.0,0.018959114320270715,-0.0033809105979179313,0.0010478274290455188,0.04704316842626777,0.03615864012085396,0.029216277569720176
2021-03-17,0.0017824625946124995,0.0016567266877544565,0.011628061084063992,-0.0059437005644941586,0.021641543420323383,0.01983521496582668,0.01690811659178088,0.013119131562646394
2021-03-27,0.004326669810732198,0.004953774991692863,0.004874904945993993,-0.00021308354569869476,-0.005444071807579025,0.006676572746304779,0.005388384994555096,-0.0011996844665830902
2021-03-28,0.000693614917407902,0.000658653078315249,0.02100905059272623,-0.009415480358200022,0.004624260688049803,-0.00843584904218589,-0.002069021136515827,-0.009058225478170439
2021-03-30,0.0008470987376519031,0.001480385170434203,-0.0034531589729766424,-0.0020446635441709582,-0.006376944675034839,-0.006063453347382978,-0.0035964755038305814,0.007379754992530545
2021-03-31,0.0007694675664358306,0.00041082947046762,-0.000963516713637789,0.0010772322052523613,-0.005379504633453687,-0.0161010222322183,-0.014519751183391142,-0.010370675452693216
2021-04-03,0.0011530923367050819,0.00041066075892311633,-0.03575550687075611,-0.00010767101620841522,-0.006765595277050099,-0.020465070881177702,-0.033896863184871395,-0.012130453054430031
2021-04-04,0.0004608648979337058,0.0009848983067978548,0.00036985049142834503,-0.0010773482606878289,-0.006075119958076461,-0.02315574009013733,-0.03237673587110375,-0.018929880907091853
2021-04-05,0.00030712530953945293,0.0012297603517432778,-0.0001849081470410059,0.0009696656501831664,-0.0034736436080697436,0.014202956783389325,0.022875934506875775,0.007719413792482974
2021-04-06,0.0007674008511053713,-0.0007376747189150825,0.0028807532485241416,0.0004306608862265953,-0.002110965579464068,-0.0008470469582273619,0.011535022962294817,0.006326653683653284
2021-04-07,0.0004601579956954077,0.0004918436036523952,-0.002141325718028725,0.004828951799803127,-0.0007406870077856539,-0.028184285980403716,-0.02633096244355484,-0.015745991608104585
2021-04-10,0.0010728792507405836,0.0016377337430630043,-0.026971863131157316,-0.005259612686029731,-0.002434671588186594,-0.032892474343836436,-0.01971891384609117,-0.0143238921276168
2021-04-11,0.0006125574464129022,0.0016350559561543244,-0.007546911203773258,0.0013978840532675187,-0.0029722953714902325,-0.00406203904811928,0.004551132179894127,-0.005292966118486651
2021-04-12,0.000994606256201199,0.00024502797525286695,0.009064482872969983,0.05376697315878717,0.03108753111103366,0.015535897919788,0.011435157599469663,0.005370724657721617
2021-04-13,7.646721471907038e-05,0.0004898759079023805,-0.00700057939314918,0.04383698867382745,0.02624192541567193,0.03341471632277686,0.027010700234236868,0.02516923011823528
2021-04-14,0.0003822483896548033,-0.0002449079566509132,0.009613213148203724,0.029011773247657514,0.003507169877896467,-0.009684341333340304,-0.020003220204427477,-0.014225217753744782
2021-04-17,0.0019853396869330213,0.0015500716952323358,0.001700076117129883,-0.017672267145107248,0.0023989990806089563,-0.0362921177363122,-0.03430678220633338,-0.013075021992861712
2021-04-18,0.0006863156558715754,0.0012220458565925388,-0.01276513795730884,-0.017499380384153374,-0.020162260594173764,-0.027442984423622797,-0.03441131745345827,-0.006680870755526279
2021-04-19,0.0010666667678024464,0.0008138683610306978,-0.01930238328653617,0.035929350157676836,0.012648592853198394,0.02560656362440593,0.023746017005046378,-0.0029907559925953313
2021-04-20,0.0006851140221548061,0.0,-0.023865815277111905,0.027805384761592413,0.012292477643881618,0.021177061549341236,0.0072776463972545734,0.00553274962998024
2021-04-21,0.0004564820529661429,0.0010570395747810707,0.00410368381661478,-0.009430042915675771,-0.005877928916599725,-0.026205379074681356,-0.016802263146319555,-0.009257368442241863
2021-04-24,0.001064315137719521,0.00016252234718046085,-0.00982891210167222,-0.021122831786813987,-0.014694291845187217,-0.00768508433845359,-0.008824648392099017,-0.01155925150448586
2021-04-25,0.0003798381934983296,0.0016237723791828937,0.013876074580124308,-0.04185073269499682,-0.016354683515296432,-0.019515281859531906,-0.018047531471784974,-0.0111028689794073
