date,ret_afran,ret_yaghoot,ret_goldMofid,ret_nahal,ret_sahar,ret_agas,ret_sarv,ret_atlas
2021-02-14,0.05527915975678255,0.05893248021553443,-2.2558214851646774,0.0,-4.106050118948845,-2.325240833522957,-2.0892326220906976,-1.0584364667817647
2021-02-15,0.07103393843725936,0.033655868742110684,-1.9271092703531112,-4.292030375148482,-6.427626346059723,-1.0615122694342616,-0.5262270468176733,-1.1697529506138227
2021-02-16,0.15774114677813422,0.08411136344519399,1.3417692329864783,-4.652152870370275,-1.100755837357037,-1.5047723476839026,-1.5428003189885353,-1.4908972243273588
2021-02-17,0.09449562957712931,0.08404067568703599,-0.631756983573728,0.0,0.9583598482657107,0.253604308326838,0.2538116841913629,-1.0608086362606906
2021-02-20,0.12587522618203728,0.0923671173062468,-3.371676558954839,0.0,-2.388453726395068,-0.871674788451593,-1.7862487304746488,-2.1219263040853753
2021-02-21,0.07857311228098851,0.10906040268456874,-2.1173687477309633,0.0,-4.078231089278928,-2.4842773639276783,-2.925263976474002,-1.40073462664001
2021-02-22,0.047106854047274105,0.02514036704936995,0.6149723023175069,0.0,-0.6867466851139703,-1.325805630105592,-1.9515918759434703,-2.288192280764534
2021-02-23,0.08632190222082059,0.016756032171572066,0.2914071270936569,0.0,2.151514984786873,2.6696570052429536,3.630618825262477,2.617417545944134
2021-02-24,0.07056609691076243,0.041883062489533884,0.8999979773758993,0.0,1.3216532892674548,0.9912495672429467,0.5993230182244735,1.3132230118794386
2021-02-27,0.13319752409308716,0.19258142845182125,-1.506513166307799,-0.6923070942317366,0.7742064437110896,-3.3790440723700854,-3.7116222089832784,-1.546583103560406
2021-02-28,-0.015649452269173025,0.15878321912083937,-0.527689671592313,0.6971333982037642,-0.09473992939870168,-1.2773776147004257,-1.6656558051337922,-1.0379600688575463
2021-03-01,0.07825950853028729,0.02503128911139907,0.7419720235661398,3.8901594205634993,0.33718425276674235,1.9626577938647305,3.129502969633702,1.3841854227233608
