date,asamid,asam,agas,ayar,close_overal
2/15/2021,0.000605011,-0.002218904,-0.010671865,-0.019459201,-0.005631654
2/16/2021,8.63E-05,-0.010369338,-0.015162089,0.013328472,-0.009103964
2/17/2021,0.000518368,0.004690428,0.002532833,-0.00633761,-0.005994363
2/20/2021,0.00103507,-0.005364272,-0.008754961,-0.034298284,-0.004561673
2/21/2021,0.000430604,-0.011069124,-0.025156563,-0.021401065,-0.00822878
2/22/2021,-0.000430604,-0.006777246,-0.013346729,0.006130891,-0.006695196
2/23/2021,0,0.00481569,0.026346435,0.002909834,-0.002253009
2/24/2021,-0.000258452,0.012249599,0.009863689,0.008959721,-0.004937787
2/27/2021,0.00172347,-0.007144767,-0.034374533,-0.015179764,-0.009851665
2/28/2021,-8.60E-05,-0.01328214,-0.012856062,-0.005290869,-0.007042543
3/1/2021,-0.000431057,0.00226149,0.01943646,0.00739233,-0.003328073
3/2/2021,-0.000430381,-0.002704651,0.010605677,-0.018203564,0.003947905
3/3/2021,0.001377429,-0.00554188,-0.021693315,0.00318329,-0.00707
3/6/2021,0.001634792,0.007077036,-0.014067319,-0.053144519,-0.006998258
3/7/2021,0,-0.018984244,0.017888512,-0.002937284,0.004971461
3/8/2021,0.000514883,0.020703512,0.026860636,0.00301338,0.020504809
3/9/2021,0.000515475,0.005063655,0.00984722,-0.008836809,0.008467853
3/10/2021,0.000857964,-0.012206805,-0.004563702,0.010131045,-0.002786014
3/13/2021,0.000857229,0.013183091,0.022779441,0.02612968,0.018584466
3/14/2021,0.000428767,0.006817911,0.01347338,0.003255482,0.01270611
3/15/2021,0.000427728,0.008676141,0.00708371,-0.017888409,0.007291325
3/16/2021,0.000770304,0.006866334,0.047043168,0.018959114,0.028504774
3/17/2021,0.003757506,0.01192395,0.019835215,0.011628061,0.013193368
3/27/2021,0.005186082,0.001592616,0.006676573,0.004874905,0.001463914
3/28/2021,0.000678221,0.025562518,-0.008435849,0.021009051,-0.002074658
3/30/2021,0.0011006,-0.001276123,-0.006063453,-0.003453159,-0.002889025
3/31/2021,0.000846832,-0.00441201,-0.016101022,-0.000963517,-0.006579475
4/3/2021,0.002280847,-0.008937329,-0.020465071,-0.035755507,-0.009055404
4/4/2021,0.000589827,-0.004527002,-0.02315574,0.00036985,-0.010453127
4/5/2021,0.000506131,-0.005741707,0.014202957,-0.000184908,-0.005361507
4/6/2021,0.000421721,0.01239952,-0.000847047,0.002880753,-0.001541403
4/7/2021,0.000504821,-0.007340867,-0.028184286,-0.002141326,-0.008684809
4/10/2021,0.000757595,-0.017403789,-0.032892474,-0.026971863,-0.007338658
4/11/2021,0.00016893,-0.010244931,-0.004062039,-0.007546911,-0.007956069
4/12/2021,0.000504099,-0.004349695,0.015535898,0.009064483,-0.003913322
4/13/2021,-0.000420065,0.023659824,0.033414716,-0.007000579,0.014949449
4/14/2021,0.000168047,-0.019146441,-0.009684341,0.009613213,-0.00108593
4/17/2021,0.000672746,0.000634578,-0.036292118,0.001700076,-0.007680665
4/18/2021,0.000167906,-0.00808128,-0.027442984,-0.012765138,-0.007277066
4/19/2021,0.000336567,0.006657462,0.025606564,-0.019302383,-0.006505719
4/20/2021,0.0004195,-0.005668564,0.021177062,-0.023865815,0.002322348
4/21/2021,0.000420163,-0.007739289,-0.026205379,0.004103684,-0.010386341
4/24/2021,0.000838959,-0.002032011,-0.007685084,-0.009828912,-0.006419398
4/25/2021,0.000418797,-0.010074856,-0.019515282,0.013876075,-0.009650708
4/26/2021,0.000503162,0.002939433,0.020792354,-0.013755559,-0.000747109
