Date,highRisk,lowRisk,normalRisk,asamid,asam,agas,ayar,close_overal
2022-02-28,0.0019934132573286,0.0050465356636981,0.0053747807533446,0.00063368,0.001663537,0.004610806,0.003912061,0.001987781
2022-03-02,0.0020002245969358,0.0018542818293808,0.0017705793785316,0.000984537,-0.001937097,0.000709566,0.008937348,-0.000541241
2022-03-05,0.0004881528894955,-0.0020004293764019,-0.0020738715338999,0.001686427,-0.003450898,0.016128724,-0.016407156,0.013694701
2022-03-06,0.0026919483299486,0.0045555019874037,0.0044514519441831,0.000561511,0.00429671,0.034779366,-0.006611606,0.018155824
2022-03-07,0.0047644102121432,0.0059638614512445,0.005856858027621,0.000561196,0.004795767,0.016555119,0.015315562,0.015237737
2022-03-08,0.0014427634328004,-0.0009007957634912,-0.0009378254456141,0.000490175,0.007176246,-0.007842251,0.019539752,-0.00468838
2022-03-09,0.0025525117525276,0.0026571069992848,0.0025344238710411,0.000701233,0.001052495,0.013845347,0.000261493,0.008720084
2022-03-12,-0.0015260407104223,-0.0012567256217235,-0.0012274663166213,0.001469455,-0.001766005,-0.02212682,0.004857165,-0.011487177
2022-03-13,0.0030062357729465,0.0032545950489644,0.0032373255324295,0.000559391,-0.009587215,-0.001456688,0.016096993,0.001771641
2022-03-14,0.0006971910602505,0.004310995316627,0.004259826409836,0.000489298,-0.014252045,-0.002743749,-0.007613011,-0.000398039
2022-03-15,0.0021371771363222,0.0005231739495747,0.0011770703216229,0.000628546,-0.012036701,0.000649398,0.003026284,0.001862466
2022-03-16,0.0014125830988332,-0.0014549297626712,-0.0015393775520639,0.000767532,-0.003462345,0.014942143,-0.007388671,0.00578714
2022-03-19,0.0045897642645408,0.0019374259371219,0.0015931334052576,0.003621264,-0.003492365,0.032215885,-0.01143266,0.016382246
2022-03-26,0.0057117485694799,0.0062992866128733,0.0059168648323634,0.001597086,0.001770565,0.022429799,0.004184523,0.017064509
2022-03-27,0.0033095588903625,-2.680775353266769e-05,-1.0381660085854744e-05,0.000555122,0.03741492,0.013185442,0.004881054,0.009170292
2022-03-28,0.0032402520286055,0.0015697096484178,0.0014435002366303,0.0,0.0,0.0,0.00698743,0.010644696
2022-03-29,-0.0001138866967442,-0.0002374998112862,0.0001518553836945,0.00104011,0.009400602,-0.000348629,0.006362534,-0.003091878
