,Date,Return
0,2022-02-28,0.005046535663698174
1,2022-03-02,0.0018542818293808053
2,2022-03-05,-0.002000429376401996
3,2022-03-06,0.004555501987403796
4,2022-03-07,0.005963861451244553
5,2022-03-08,-0.0009007957634912783
6,2022-03-09,0.0026571069992848482
7,2022-03-12,-0.0012567256217235372
8,2022-03-13,0.0032545950489644366
9,2022-03-14,0.004310995316627026
10,2022-03-15,0.0005231739495747834
11,2022-03-16,-0.0014549297626712519
12,2022-03-19,0.0019374259371219037
13,2022-03-26,0.006299286612873397
14,2022-03-27,-2.680775353266769e-05
15,2022-03-28,0.001569709648417829
16,2022-03-29,-0.00023749981128626805
17,2022-03-30,0.0014944785245751917
18,2022-04-03,0.015494004404176821
19,2022-04-04,0.013305618062145882
20,2022-04-05,0.005492075153408454
21,2022-04-06,-0.0009559218489168053
22,2022-04-09,-0.0015339261371968788
23,2022-04-10,-0.0006372841864658834
24,2022-04-11,0.0037136948132458995
25,2022-04-12,-0.006645722453030872
26,2022-04-13,0.006329009756770721
27,2022-04-16,0.004143925289643035
28,2022-04-17,0.0019719595347866877
29,2022-04-18,0.002084695908006019
30,2022-04-19,0.00200910481015437
31,2022-04-20,-0.0006158631221700936
32,2022-04-24,0.00042792630906129036
33,2022-04-25,0.0030006799358655604
34,2022-04-26,0.0022370456468025486
35,2022-04-27,0.0004567258213559265
36,2022-04-30,0.0033890732923382346
37,2022-05-01,0.0008909020079191268
38,2022-05-02,-0.0002110042033555274
39,2022-05-07,0.0033511386000989836
40,2022-05-08,0.001289327973810773
41,2022-05-09,0.0005357831187669537
42,2022-05-10,-0.0002240903325221637
43,2022-05-11,0.0023456907989824792
44,2022-05-14,0.0045601212614432
45,2022-05-15,0.0010850541233482728
46,2022-05-16,0.0015108271777239267
47,2022-05-17,0.0005165150154250719
48,2022-05-18,-0.0015900245577753834
49,2022-05-21,0.0006003273753787113
50,2022-05-22,0.0028880362803986566
51,2022-05-23,-0.0014322455230076228
52,2022-05-24,0.0047627361255886905
53,2022-05-25,0.002474483904331551
54,2022-05-28,0.0041869205881387905
55,2022-05-29,0.0019328200840824721
56,2022-05-30,0.0014403676715083998
57,2022-05-31,0.0016642027007811966
58,2022-06-01,-0.00135678648955012
59,2022-06-06,-0.0026923975188074636
60,2022-06-07,0.0021993642555591013
61,2022-06-08,-0.0029643519317248
62,2022-06-11,0.0023460331581395787
63,2022-06-12,0.010120043900668388
64,2022-06-13,0.003910484017093544
65,2022-06-14,-0.0009764179268534487
66,2022-06-15,-0.00314797345668014
67,2022-06-18,0.0016435118656909138
68,2022-06-19,0.002168043802547549
69,2022-06-20,-0.0007147040347380627
70,2022-06-21,-0.003174034535691378
71,2022-06-22,6.898657046937253e-05
72,2022-06-25,-0.004520194582416636
73,2022-06-26,-0.0021674814620660427
74,2022-06-27,-0.0020051733378702065
75,2022-06-28,0.0005104739738339247
76,2022-06-29,0.001698840158897485
77,2022-07-02,0.006211036456137695
78,2022-07-03,0.0006030668306521849
79,2022-07-04,-0.00039540564996184025
80,2022-07-05,0.0007863776829273152
81,2022-07-06,5.631916103773901e-05
82,2022-07-09,0.0034034287213511897
83,2022-07-11,0.00885990809285083
84,2022-07-12,0.0015748026438651638
85,2022-07-13,0.0021224102209218046
86,2022-07-16,-0.0010040449246955657
87,2022-07-17,0.00025491354157248434
88,2022-07-19,0.0016476111804931703
89,2022-07-20,0.0034826787580747804
90,2022-07-23,0.0027984390307927327
91,2022-07-24,-0.004382603946324538
92,2022-07-25,-0.00346648829143688
93,2022-07-26,-0.00028140900739026813
94,2022-07-27,-0.0008659340352128932
95,2022-07-30,-0.0006531290999494519
96,2022-07-31,-0.0005165784045314604
97,2022-08-01,0.003529066142657046
98,2022-08-02,-0.0003574517825257847
99,2022-08-03,0.0006166642246965394
100,2022-08-06,0.002272395278241881
101,2022-08-09,-0.00102500537117063
102,2022-08-10,-0.0005014928440017139
103,2022-08-13,0.0051032663234839
104,2022-08-14,-0.004188972551696077
105,2022-08-15,-0.0006301861647744412
106,2022-08-16,-0.0014077766894020803
107,2022-08-17,-0.002134831939485139
108,2022-08-20,-0.00467060873089318
109,2022-08-21,-0.0010467000663536687
110,2022-08-22,0.006182033789034997
111,2022-08-23,0.0024246030303245927
112,2022-08-24,-0.0028678759436811902
113,2022-08-27,0.0022455444195262986
114,2022-08-28,-0.0024823692138389673
115,2022-08-29,0.0007916934708125189
116,2022-08-30,-0.002467174248930803
117,2022-08-31,-0.0025188853250877378
118,2022-09-03,0.0006537807100271217
119,2022-09-04,-0.00026831140360166514
120,2022-09-05,-0.00029822394837501266
121,2022-09-06,-0.0009141467528841231
122,2022-09-07,-0.0003637639841224362
123,2022-09-10,0.0015096427398681677
124,2022-09-11,-0.0012954217752035317
125,2022-09-12,-0.0014198669132171721
126,2022-09-13,-0.004588522930733127
127,2022-09-14,9.385922874742666e-05
128,2022-09-18,0.0030651722649564003
129,2022-09-19,0.005427495277795518
130,2022-09-20,-8.569298286016502e-05
131,2022-09-21,-0.006777158849416001
132,2022-09-24,-0.005803099185338993
133,2022-09-26,0.002521775819476447
134,2022-09-28,0.004585641045330573
135,2022-10-01,-0.004481615011791097
136,2022-10-02,-0.0002177161511206153
137,2022-10-03,0.0027972662045316486
138,2022-10-04,0.0005348859403961851
139,2022-10-08,0.001633447448409472
140,2022-10-09,-1.609840744600335e-05
141,2022-10-10,0.002407172520450396
142,2022-10-11,-0.0011818149618790528
