,Mean Daily Log Return,Standard Deviation,Sharpe Ratio,Cumulative Return %,MDD
highRisk,0.002353825013534039,0.010009772773199019,0.23515269196083669,52.758568044691636,-0.056808462131926966
lowRisk,0.0014731294805002204,0.0036385612844793266,0.4048659251072704,30.3643851897585,-0.013052155317782376
agas,0.002235021494444445,0.016804051933674097,0.1330049147233129,49.526562852060806,-0.1285357098331457
close_overal,0.0017741964000000006,0.010380484545923111,0.17091653016301714,37.62402877626667,-0.11477656596261833
equalweight,0.0016023077432823904,0.007428257789563153,0.21570438031023423,33.431145371317285,-0.034498555984485695
