axis,swept_value,population,generations,init_mut,high_mut,fit_mean,fit_std,gensrun_mean,gensrun_std,runtime_mean_s,runtime_std_s,delta_fit_vs_published,runtime_ratio_vs_published,is_published
population,50.0,50,50,0.05,0.1,0.8401939989645358,0.0001450725743420399,31.138888888888886,0.9452610848429744,55.93638888933334,0.41848822568038035,-0.0013369391973382383,0.7230013637614492,False
population,100.0,100,50,0.05,0.1,0.8415309381618741,0.00011435664072349466,32.46296296296296,0.9322009591594981,77.36692030333332,1.8797140008381257,0.0,1.0,True
population,150.0,150,50,0.05,0.1,0.841647347679548,0.00014724978832773194,34.40740740740741,0.5648907052840603,98.62324700100005,1.8019744031891103,0.00011640951767388774,1.274746966976672,False
generations,30.0,100,30,0.05,0.1,0.8413434918854773,0.00017214257080203616,25.64814814814815,0.24251483062423654,72.34034131866672,0.5517283679995634,-0.00018744627639677436,0.9350293514985625,False
generations,50.0,100,50,0.05,0.1,0.8415309381618741,0.00011435664072349466,32.46296296296296,0.9322009591594981,77.36692030333332,1.8797140008381257,0.0,1.0,True
generations,70.0,100,70,0.05,0.1,0.84159979036643,0.00010736794135388941,35.5462962962963,2.009792555954425,77.86497588833322,1.7254227768437784,6.885220455588037e-05,1.0064375780119872,False
init_mutation,0.01,100,50,0.01,0.1,0.8405051074233985,7.456299879147175e-05,33.425925925925924,0.44809457898380783,72.90606754166681,0.4546191631999373,-0.0010258307384756193,0.9423416009817014,False
init_mutation,0.05,100,50,0.05,0.1,0.8415309381618741,0.00011435664072349466,32.46296296296296,0.9322009591594981,77.36692030333332,1.8797140008381257,0.0,1.0,True
init_mutation,0.1,100,50,0.1,0.1,0.8418017779314715,0.00010541409151239702,50.0,0.0,100.01778362433329,1.580042413381446,0.0002708397695974085,1.2927719396376707,False
