Series,Mean Daily Log Return,Standard Deviation,Sharpe (rf=0),Sharpe (rf=20%),Cumulative Return %,Max Drawdown %
Risk-seeking portfolio,0.002353825013534039,0.010009772773199019,0.23515269196083669,0.1585966377146712,52.758568044691636,-5.680846213192696
Risk-averse portfolio,0.0014731294805002204,0.0036385612844793266,0.4048659251072704,0.19425831195929716,30.3643851897585,-1.3052155317782377
Agas fund,0.002235021494444445,0.016804051933674097,0.1330049147233129,0.08740229992293923,49.526562852060806,-12.853570983314569
Overall market index,0.0017741964000000006,0.010380484545923111,0.17091653016301714,0.09709447455215658,37.62402877626667,-11.477656596261832
Equal-weight portfolio,0.0016023077432823904,0.007428257789563153,0.21570438031023423,0.11254308339166297,33.431145371317285,-3.4498555984485693
